Título,Preço (R$),Avaliação,Bairro,Imóvel,Características
Studio bem equipado em casa italiana com quintal,85,4.82,Bela Vista,Townhouse inteira,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
"Estúdio centro de SP-300 mts metrô, COM GARAGEM",113,4.92,República,Flat inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
anyLife Comfort Pinheiros IV,155,4.63,Pinheiros,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Suíte Confortável  Alpha Arouche  6 min do Metrô,60,4.88,Campos Elíseos,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Confortável suite ao lado da Praça Buenos Aires,59,4.96,Higienópolis,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Apartamento no Bosque da Saúde para 4 hóspedes,100,4.96,Saúde,Apartamento inteiro,"['4 hóspedes', '1 quarto', '2 camas', '1 banheiro e meio', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Casa confortável e com privacidade em Santana!!,65,5.0,São Paulo,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '2 banheiros compartilhados', 'Wi-Fi', 'Estacionamento gratuito']"
"Studio, piscina e academia, otimo menor preço",79,4.74,Consolacao,Flat inteiro,"['3 hóspedes', '1 quarto', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
*Suíte Mobiliada no Centro de SP com Smart TV! (:,71,4.97,Sé,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Flat próx. metro Paulista e Consolação,107,4.8,Consolacao,Apartamento inteiro,"['4 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
Victoria Place 105,106,,Itaim Bibi,Apartamento inteiro,"['2 hóspedes', '1 quarto', '0 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Apartamento funcional a 2 min da Avenida Paulista,101,4.96,Bela Vista,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Studio inovador em São Paulo próximo ao metrô,115,4.88,Consolacao,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
